step,mean_reward,std_reward,settlement_win_rate,first_finish_rate,mean_510k_score,mean_opponent_reward,relative_superiority,mean_episode_steps,std_episode_steps
0,10.95,23.69,0.155,0.145,15.15,24.23,-0.548,17.61,4.28
2048,23.12,28.79,0.3,0.275,22.12,20.82,0.1109,17.74,4.08
4096,27.2,27.08,0.355,0.355,23.0,19.81,0.3732,17.77,3.85
8192,28.52,31.07,0.385,0.375,23.52,19.34,0.4748,17.46,3.79
16384,34.55,32.68,0.485,0.45,26.55,17.37,0.9894,17.64,3.63
32768,40.23,33.32,0.5,0.49,30.62,15.02,1.6787,17.75,4.04
65536,43.62,32.33,0.565,0.56,31.23,13.87,2.146,17.93,3.81
131072,40.83,31.03,0.525,0.515,30.23,14.8,1.7584,17.91,3.7
262144,44.85,29.9,0.565,0.56,32.45,13.55,2.31,17.86,3.61
524288,42.92,32.27,0.55,0.54,31.32,14.32,1.9965,17.45,3.47
1048576,43.05,32.61,0.55,0.525,32.05,14.5,1.969,17.82,3.81
1114112,42.17,32.95,0.54,0.51,31.77,14.53,1.9019,17.98,3.99
1179648,47.15,32.4,0.595,0.565,34.55,13.18,2.5787,18.05,3.78
1245184,46.33,32.17,0.59,0.57,33.52,13.31,2.4809,18.23,4.12
1310720,43.4,32.51,0.54,0.515,32.8,14.18,2.0617,18.21,4.08
1376256,48.35,31.44,0.605,0.57,35.55,12.97,2.7288,18.59,3.8
1441792,45.58,33.11,0.555,0.535,34.17,13.74,2.3166,18.2,3.78
1507328,45.08,33.15,0.585,0.55,33.08,13.38,2.368,17.99,3.64
1572864,48.15,33.43,0.595,0.575,35.15,13.07,2.6849,18.25,3.76
1638400,46.75,33.0,0.57,0.54,35.15,13.44,2.478,18.53,3.8
1703936,46.62,32.41,0.6,0.55,34.62,13.55,2.441,18.41,3.88
1769472,46.83,32.54,0.595,0.565,34.23,13.1,2.5744,18.11,3.78
1835008,45.08,31.37,0.545,0.495,35.27,14.24,2.165,18.43,3.66
1900544,45.4,31.71,0.575,0.545,33.6,13.82,2.2839,18.24,3.9
1966080,48.12,33.32,0.595,0.585,34.73,12.68,2.7943,17.64,3.62
2031616,50.05,31.19,0.65,0.615,35.45,12.38,3.0444,17.96,3.65
2097152,49.45,32.53,0.62,0.605,35.25,12.42,2.9826,18.0,3.71
2162688,48.9,32.69,0.62,0.585,35.5,12.74,2.8378,18.36,3.68
2228224,48.7,32.31,0.64,0.605,34.5,12.61,2.8625,18.18,3.84
2293760,49.35,32.78,0.63,0.605,35.15,12.55,2.9323,18.06,3.58
2359296,46.17,32.39,0.59,0.565,33.58,13.18,2.5025,17.44,3.55
2424832,48.45,32.26,0.62,0.575,35.45,13.0,2.7269,18.01,3.6
2490368,49.85,31.59,0.645,0.625,34.85,12.4,3.0202,17.91,3.68
2555904,49.27,33.38,0.62,0.61,34.88,12.41,2.9711,17.77,3.7
2621440,47.92,33.54,0.62,0.58,34.73,12.93,2.7079,18.18,3.93
2686976,49.95,32.38,0.625,0.605,35.75,12.17,3.1055,17.79,3.73
2752512,48.7,32.18,0.625,0.61,34.3,12.77,2.8146,17.89,3.86
2818048,49.67,32.89,0.64,0.6,35.67,12.76,2.8935,18.17,3.7
2883584,45.9,33.11,0.575,0.57,33.1,13.43,2.4169,17.75,3.77
2949120,46.85,33.83,0.57,0.555,34.65,13.15,2.5627,18.14,3.78
3014656,48.67,34.34,0.58,0.57,35.88,12.6,2.8631,18.01,4.0
3080192,47.15,35.93,0.55,0.535,35.75,13.1,2.5992,17.83,3.66
3145728,48.52,32.0,0.615,0.585,35.12,12.43,2.9054,17.66,3.65
3211264,47.1,33.33,0.565,0.55,35.1,13.01,2.6208,17.76,3.66
3276800,47.5,32.16,0.595,0.565,34.9,12.84,2.6989,17.82,3.56
3342336,48.9,32.03,0.62,0.58,35.7,12.61,2.8784,17.93,3.7
3407872,47.67,33.14,0.59,0.57,34.88,12.77,2.7343,18.05,3.75
3473408,49.05,32.61,0.61,0.57,36.25,12.84,2.8196,18.28,3.66
3538944,53.55,33.17,0.69,0.66,37.15,11.15,3.8027,18.23,3.73
3604480,53.92,31.59,0.7,0.68,36.73,11.05,3.8801,18.7,3.8
3670016,51.52,33.02,0.645,0.625,36.52,11.75,3.3851,18.4,3.92
3735552,47.85,32.88,0.6,0.56,35.45,12.91,2.7069,18.15,3.47
3801088,51.15,33.68,0.63,0.61,36.75,12.11,3.2244,18.51,3.82
3866624,49.5,32.83,0.615,0.59,35.9,12.5,2.96,18.09,3.65
3932160,48.17,33.4,0.615,0.58,34.98,12.62,2.8158,17.95,3.87
3997696,49.98,32.71,0.64,0.615,35.38,12.15,3.1132,18.16,3.68
4063232,50.38,31.38,0.665,0.64,34.77,12.19,3.1319,18.27,3.77
4128768,49.17,31.67,0.645,0.585,35.77,12.72,2.8644,18.23,3.63
4194304,50.15,32.6,0.655,0.63,34.95,12.43,3.0362,18.34,3.61
